Class,Precision,Recall,mAP@.5,mAP@.5:.95
0,0.9840044537832017,0.9964973730297724,0.9897164468854308,0.9651874532919427
1,0.9982116644564618,0.9914089347079038,0.9938927335640138,0.964963831890158
Global,0.9911080591198318,0.9939531538688381,0.9918045902247223,0.9650756425910503
